collected_at,keyword,product_id,title,price,mall,brand,maker,ram,ssd,cpu,link,spec_score,value_score,model_key,seller_count,mall_count,min_price_in_group,max_price_in_group,price_gap_in_group
2026-07-11 03:41:20,리퍼 맥북,91140752577,Apple 리퍼제품 2024 MacBook Air와 M3 칩15인치 16GB RAM 512GB SSD 스토리지QWERTY 영어 미드나잇프리미엄 업데이트,1892800,플러스아울렛1,Apple,Apple,16GB,512GB,Apple M3,https://smartstore.naver.com/main/products/13596242165,153.6,81.15,Apple|MacBook Air 2024|Apple M3|16GB|512GB,1,1,1892800,1892800,0
2026-07-11 03:41:20,리퍼 LG그램,60768874057,[리퍼] 엘지 그램 12세대 가벼운 노트북 WIN11 16G SSD1TB 15ZB90Q,1260030,11번가,LG전자,LG전자,16GB,1TB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9479704170&tid=1000000061,99.2,78.73,LG전자|리퍼엘지그램12세대가벼운노트북WIN1116GSSD1TB||16GB|1TB,1,1,1260030,1260030,0
2026-07-08 03:43:14,중고 맥북,90793480386,"[새것,미개봉,재고보유] 맥북에어 M4 15인치 16GB 512GB 미드나잇 풀커버케이스 포함",2090000,아이문,Apple,Apple,16GB,512GB,Apple M4,https://smartstore.naver.com/main/products/13248970054,163.6,78.28,Apple|MacBook Air|Apple M4|16GB|512GB,1,1,2090000,2090000,0
2026-06-26 23:53:43,리퍼 맥북,91140891747,Apple 리퍼제품 2022 MacBook Pro애플 M2 칩 포함13인치 16GB RAM 512GB SSD 스토리지QWERTY 영어 실버프리미엄 Silver,1904720,플러스아울렛1,Apple,Apple,16GB,512GB,Apple M2,https://smartstore.naver.com/main/products/13596381335,143.6,75.39,Apple|MacBook Pro 2022|Apple M2|16GB|512GB,1,1,1904720,1904720,0
2026-07-11 03:41:20,리퍼 맥북,90583245166,Apple M2 Pro 칩 16인치 32GB RAM 1TB SSD 스페이스 그레이가 탑재된 MacBook 리퍼제품,3127840,카오아울렛,Apple,Apple,32GB,1TB,Apple M2,https://smartstore.naver.com/main/products/13038734074,217.2,69.44,Apple|APPLEM2PRO칩16인치32GBRAM1TBSSD스페|Apple M2|32GB|1TB,1,1,3127840,3127840,0
2026-06-26 10:38:46,리퍼 맥북,90875969050,Apple 맥북프로 14 2024년 M4 Pro 14코어 RAM 24GB 512GB,2799000,스마트리퍼몰,Apple,Apple,24GB,512GB,Apple M4,https://smartstore.naver.com/main/products/13331458718,187.6,67.02,Apple|MacBook Pro 2024|Apple M4|24GB|512GB,1,1,2799000,2799000,0
2026-07-11 03:41:20,리퍼 갤럭시북,90739609253,Samsung 리퍼제품 삼성 갤럭시 북5 프로 14 U7-258V 32GB 1TB 그레이,2243600,볼트르마켓,삼성,삼성전자,32GB,1TB,,https://smartstore.naver.com/main/products/13195098156,147.2,65.61,삼성전자|SAMSUNG리퍼제품삼성갤럭시북5프로14U7258V32||32GB|1TB,1,1,2243600,2243600,0
2026-07-07 04:15:59,리퍼 갤럭시북,90739109466,Samsung 리퍼제품 삼성 갤럭시 북4 엣지 14인치 AMOLED 터치 윈도우 11 홈 퀄컴 8CX X세대 16GB DDR5x 512GB SSD 사파이어 블루리퍼제품,1379200,볼트르마켓,삼성,삼성전자,16GB,512GB,,https://smartstore.naver.com/main/products/13194598369,73.6,53.36,삼성전자|SAMSUNG리퍼제품삼성갤럭시북4엣지14인치AMOLED||16GB|512GB,1,1,1379200,1379200,0
2026-06-20 12:31:34,리퍼 갤럭시북,59735715161,삼성 가성비 리퍼 노트북 갤럭시북5프로 16인치 NT960XHA 울트라5 16GB 1TB,1990000,11번가,삼성,,16GB,1TB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9163049395&tid=1000000061,99.2,49.85,삼성전자|NT960XHA||16GB|1TB,1,1,1990000,1990000,0
2026-06-26 23:53:43,중고 LG그램,58891973447,중고노트북 LG그램 16인치 16z90s 16인치/16GB/512GB,1598000,11번가,LG그램,,16GB,512GB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9100233135&tid=1000000061,73.6,46.06,LG전자|중고노트북LG그램16인치16Z90S16인치16GB512||16GB|512GB,2,2,1598000,1728330,130330
2026-07-03 04:07:06,리퍼 LG그램,60602137977,1+1 LG그램 노트북 리퍼 17인치 터치스크린 코어i7 SSD 1TB 16GB WIN11,4199900,11번가,OMT,,16GB,1TB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9453459293&tid=1000000061,169.2,40.29,OMT|11LG그램노트북리퍼17인치터치스크린코어I7SSD1TB|i7|16GB|1TB,1,1,4199900,4199900,0
2026-06-18 08:18:16,리퍼 노트북,60421073463,LG 그램 16Z90S-VP55 울트라5 16GB 512GB 윈11프로 리퍼 노트북,1949000,옥션,,,16GB,512GB,,https://link.auction.co.kr/gate/pcs?item-no=F586492217&sub-id=1&service-code=10000003,73.6,37.76,|LG그램16Z90SVP55울트라516GB512GB윈11||16GB|512GB,1,1,1949000,1949000,0
2026-07-11 03:41:20,리퍼 LG그램,91175326796,LG 그램 16Z90S-VP55 울트라5 16GB 512GB 윈11프로 리퍼 노트북,1949000,보스위즈,LG그램,LG전자,16GB,512GB,,https://smartstore.naver.com/main/products/13630816132,73.6,37.76,LG전자|LG그램16Z90SVP55울트라516GB512GB윈11||16GB|512GB,1,1,1949000,1949000,0
2026-07-06 04:38:11,리퍼 LG그램,60602152290,1+1 LG그램 노트북 리퍼 16인치 울트라7 SSD 2TB 32GB WIN11,5799900,11번가,OMT,,32GB,2TB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9453459674&tid=1000000061,198.4,34.21,OMT|11LG그램노트북리퍼16인치울트라7SSD2TB32GBW||32GB|2TB,1,1,5799900,5799900,0
2026-06-26 23:53:43,리퍼 LG그램,60602606424,오엠티 1+1 LG그램 노트북 리퍼 16인치 울트라9 시리즈2 SSD 2TB AI 32GB,6836460,롯데ON,OMT,,32GB,2TB,i3,https://www.lotteon.com/p/product/LO2708542060?sitmNo=LO2708542060_2708542061&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,228.4,33.41,OMT|오엠티11LG그램노트북리퍼16인치울트라9시리즈2SSD2|i3|32GB|2TB,1,1,6836460,6836460,0
2026-07-11 03:41:20,리퍼 LG그램,91175326601,LG 그램 17Z90TL-GU75 울트라7 16GB 512GB 코파일럿 AI 노트북 리퍼,2349000,보스위즈,LG그램,LG전자,16GB,512GB,,https://smartstore.naver.com/main/products/13630815937,73.6,31.33,LG전자|LG그램17Z90TLGU75울트라716GB512GB코파||16GB|512GB,1,1,2349000,2349000,0
2026-07-04 04:00:38,리퍼 맥북,90739356146,Apple 리퍼제품 2025 MacBook Pro애플 M5 칩 포함14인치 16GB RAM 512GB SSD 스토리지 스페이스 블랙리퍼제품,2558640,볼트르마켓,Apple,Apple,16GB,512GB,,https://smartstore.naver.com/main/products/13194845049,73.6,28.77,Apple|MacBook Pro 2025||16GB|512GB,1,1,2558640,2558640,0
2026-07-03 04:07:06,리퍼 LG그램,60602079823,1+1 LG그램 노트북 리퍼 17인치 울트라7 SSD 1TB 16GB WIN11,4399900,11번가,OMT,,16GB,1TB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9453460846&tid=1000000061,99.2,22.55,OMT|11LG그램노트북리퍼17인치울트라7SSD1TB16GBW||16GB|1TB,1,1,4399900,4399900,0
2026-07-03 04:07:06,리퍼 LG그램,60602149641,1+1 LG그램 노트북 리퍼 16인치 울트라7 시리즈2 SSD 1TB 32GB WIN11,6799900,11번가,OMT,,32GB,1TB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9453459882&tid=1000000061,147.2,21.65,OMT|11LG그램노트북리퍼16인치울트라7시리즈2SSD1TB3||32GB|1TB,1,1,6799900,6799900,0
2026-07-08 03:43:14,리퍼 LG그램,60602148489,1+1 LG그램 노트북 리퍼 17인치 터치스크린 울트라7 SSD 1TB 16GB WIN11,4799900,11번가,OMT,LG전자,16GB,1TB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9453461019&tid=1000000061,99.2,20.67,OMT|11LG그램노트북리퍼17인치터치스크린울트라7SSD1TB||16GB|1TB,1,1,4799900,4799900,0
