collected_at,keyword,product_id,title,price,mall,brand,maker,ram,ssd,cpu,link,spec_score,value_score,model_key,seller_count,mall_count,min_price_in_group,max_price_in_group,price_gap_in_group,buy_decision,decision_reason
2026-06-26 23:53:43,중고 ThinkPad,91183159853,레노버 ThinkPad E16 Gen1 13세대 i5-1335U 램16GB NVME512GB 15.6 윈도11 중고노트북,698000,도담코퍼레이션,씽크패드,레노버,16GB,512GB,i5,https://smartstore.naver.com/main/products/13638649144,123.6,177.08,레노버|ThinkPad|i5|16GB|512GB,2,2,698000,717040,19040,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 노트북,91106801324,삼성 노트북 플러스2 i5 11세대-1135G7 16G SSD512G 윈11 15.6인치,699000,일체형pc  중고노트북,노트북 플러스2,삼성전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13562290957,123.6,176.82,노트북 플러스2|삼성노트북플러스2I511세대1135G716GSSD512|i5|16GB|512GB,1,1,699000,699000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 노트북,91175258335,LG 노트북 gram 10세대 14ZB995 윈11 인텔i5 16GB SSD512GB,709000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13630747671,123.6,174.33,LG전자|LG노트북GRAM10세대14ZB995윈11인텔I516G|i5|16GB|512GB,1,1,709000,709000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 갤럭시북,58891874979,중고노트북 갤럭시북 프로 코어I5 11세대 / Win11 / 16gb / 512gb,726530,11번가,갤럭시북 프로,,16GB,512GB,i5,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9100234754&tid=1000000061,123.6,170.12,갤럭시북 프로|중고노트북갤럭시북프로코어I511세대WIN1116GB51|i5|16GB|512GB,1,1,726530,726530,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-20 03:33:22,중고 노트북,89732447000,삼성전자 노트북 플러스2 윈11 i3 11세대 16G SSD1TB 삼성노트북,769000,일체형pc  중고노트북,노트북 플러스2,삼성전자,16GB,1TB,i3,https://smartstore.naver.com/main/products/12187936295,129.2,168.01,노트북 플러스2|삼성전자노트북플러스2윈11I311세대16GSSD1TB삼|i3|16GB|1TB,1,1,769000,769000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-20 03:33:22,중고 노트북,89732394109,삼성 노트북 플러스2 i3 11세대-1115G4 16G SSD512G 윈11 15.6인치,629000,일체형pc  중고노트북,노트북 플러스2,삼성전자,16GB,512GB,i3,https://smartstore.naver.com/main/products/12187883404,103.6,164.71,노트북 플러스2|삼성노트북플러스2I311세대1115G416GSSD512|i3|16GB|512GB,1,1,629000,629000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-20 12:31:34,리퍼 LG그램,59942504973,[리퍼] LG 그램15 15Z90N 10세대 i7 램16G SSD512G 윈11 초경량,879000,GSSHOP,LG전자,LG전자,16GB,512GB,i7,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1119900989&vodFlag=N&prdseqnum=1119900989&utm_source=price&utm_medium=affiliate&utm_campaign=naver,143.6,163.37,LG전자|리퍼LG그램1515Z90N10세대I7램16GSSD512|i7|16GB|512GB,1,1,879000,879000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 LG그램,91175156047,LG Gram 노트북 i7-1165G7 가벼운 사무용 16GB SSD1TB 윈도우11,1059000,일체형pc  중고노트북,LG전자,LG전자,16GB,1TB,i7,https://smartstore.naver.com/main/products/13630645383,169.2,159.77,LG전자|LGGRAM노트북I71165G7가벼운사무용16GBSSD|i7|16GB|1TB,1,1,1059000,1059000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 LG그램,91175148329,LG 그램 11세대 인텔i7 램16기가 SSD512GB WIN11 노트북 14ZB95N,899000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i7,https://smartstore.naver.com/main/products/13630637665,143.6,159.73,LG전자|LG그램11세대인텔I7램16기가SSD512GBWIN11|i7|16GB|512GB,1,1,899000,899000,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-07-02 04:20:51,중고 갤럭시북,58892234744,중고노트북 갤럭시북 프로 코어I5 11세대 / Win11 / 16gb / 512gb,816110,롯데ON,,삼성전자,16GB,512GB,i5,https://www.lotteon.com/p/product/LO2620033801?sitmNo=LO2620033801_2620033802&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,123.6,151.45,삼성전자|중고노트북갤럭시북프로코어I511세대WIN1116GB51|i5|16GB|512GB,1,1,816110,816110,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
2026-06-22 01:48:13,리퍼 LG그램,59520541242,[리퍼] LG 그램 15Z90N 10세대 i7 16G 512G Win10,999000,GSSHOP,LG전자,LG전자,16GB,512GB,i7,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1023188843&vodFlag=N&prdseqnum=1023188843&utm_source=price&utm_medium=affiliate&utm_campaign=naver,143.6,143.74,LG전자|리퍼LG그램15Z90N10세대I716G512GWIN10|i7|16GB|512GB,3,3,999000,1257900,258900,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다. 다만 판매처별 가격 차이가 커서 최저가 판매처 확인이 필요합니다.
2026-07-02 04:20:51,리퍼 맥북,90740303951,Apple 리퍼제품 MacBook Air 2020 13.3인치인텔 코어 i7 16GB RAM 1TB SSD 스토리지 - 스페이스 그레이리퍼제품,1216160,볼트르마켓,Apple,Apple,16GB,1TB,i7,https://smartstore.naver.com/main/products/13195792854,169.2,139.13,Apple|MacBook Air 2020|i7|16GB|1TB,1,1,1216160,1216160,0,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다.
