group_key,product_id,title,brand,ram,ssd,cpu,mall,first_price,latest_price,min_price,max_price,avg_price,change_rate,period_change_rate,observed_count,seller_count,mall_count,is_latest_min,buy_timing_score,first_date,latest_date,timing_signal,link
레노버|레노버THINKPADE16GEN113세대I51335U램16|i5|16GB|512GB,91183159853,레노버 ThinkPad E16 Gen1 13세대 i5-1335U 램16GB NVME512GB 15.6 윈도11 중고노트북,레노버,16GB,512GB,i5,도담코퍼레이션,698000,698000,698000,698000,698000,0.0,0.0,5,1,1,N,6,2026-06-26,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13638649144
레노버|LENOVO제품THINKPADP52156FHDCOREI78|i7|32GB|1TB,90740442258,Lenovo 리퍼제품 ThinkPad P52 15.6 FHD Core i7-8850H 2.6GHz 32GB RAM 1TB 솔리드 스테이트 드라이브 Windows 11 Pro,레노버,32GB,1TB,i7,볼트르마켓,1096560,1096560,1096560,1096560,1096560,0.0,0.0,5,1,1,N,6,2026-06-26,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13195931161
Apple|MACBOOKAIR|Apple M3|24GB|512GB,91140987263,Apple 리퍼제품 2024 MacBook Air와 M3 칩13인치 24GB RAM 512GB SSD 스토리지 자정리퍼제품,Apple,24GB,512GB,Apple M3,플러스아울렛1,1891120,1891120,1891120,1891120,1891120,0.0,0.0,5,1,1,N,6,2026-06-22,2026-06-24,가격 관찰,https://smartstore.naver.com/main/products/13596476851
LG전자|오엠티1+1LG그램16인치울트라9시리즈2SSD2TBAI32|i3|32GB|2TB,60602606424,오엠티 1+1 LG 그램 노트북 리퍼 16인치 울트라9 시리즈2 SSD 2TB AI 32GB,LG전자,32GB,2TB,i3,롯데ON,6836460,6836460,6836460,6836460,6836460,0.0,0.0,5,1,1,N,6,2026-06-26,2026-06-26,가격 관찰,https://www.lotteon.com/p/product/LO2708542060?sitmNo=LO2708542060_2708542061&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
레노버|65U16GHZ16GBRAM|i5|16GB|512GB,90741369582,Lenovo 리퍼제품 ThinkPad T590 15.6 FHD Core i5-8365U 1.6GHz 16GB RAM 512GB 솔리드 스테이트 드라이브 Windows 11 P,레노버,16GB,512GB,i5,볼트르마켓,717040,717040,717040,717040,717040,0.0,0.0,4,1,1,N,6,2026-06-24,2026-06-25,가격 관찰,https://smartstore.naver.com/main/products/13196858485
LG전자|15Z90Q12|i5|16GB|1TB,91152624754,[리퍼] LG 그램 15Z90Q 12세대 i5 16G 1TB 윈도우포함 사무용 노트북 573431,LG전자,16GB,1TB,i5,라이프하우스6,1351600,1351600,1351600,1351600,1351600,0.0,0.0,4,1,1,N,6,2026-06-19,2026-06-19,가격 관찰,https://smartstore.naver.com/main/products/13608114342
Apple|MACBOOKPRO|Apple M2|16GB|512GB,91140891747,Apple 리퍼제품 2022 MacBook Pro애플 M2 칩 포함13인치 16GB RAM 512GB SSD 스토리지QWERTY 영어 실버프리미엄 Silver,Apple,16GB,512GB,Apple M2,플러스아울렛1,1904720,1904720,1904720,1904720,1904720,0.0,0.0,4,1,1,N,6,2026-06-26,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13596381335
LG전자|15U50P|i7|16GB|512GB,91174980683,LG 울트라PC 11세대 SSD512GB 노트북 인텔i7 16GB MX450 15U50P,LG전자,16GB,512GB,i7,일체형pc  중고노트북,809000,809000,809000,809000,809000,0.0,0.0,3,1,1,N,6,2026-06-25,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13630470019
LG전자|15ZB95N|i5|16GB|1TB,91171087777,LG 노트북 gram 가벼운 노트북 인텔 i5 16G SSD1TB 15ZB95N,LG전자,16GB,1TB,i5,일체형pc  중고노트북,1234000,1234000,1234000,1234000,1234000,0.0,0.0,2,1,1,N,6,2026-06-25,2026-06-25,가격 관찰,https://smartstore.naver.com/main/products/13626577168
레노버|65U32GB1TBSSDW1|i7|32GB|1TB,90739922184,Lenovo 리퍼제품 레노버 씽크패드 X1 요가 G8 14인치 터치 노트북 i7-1365U 32GB 1TB SSD W11P,레노버,32GB,1TB,i7,볼트르마켓,1250800,1250800,1250800,1250800,1250800,0.0,0.0,2,1,1,N,6,2026-06-24,2026-06-24,가격 관찰,https://smartstore.naver.com/main/products/13195411087
레노버|레노버씽크패드X1카본GEN9I7램16GB1TBPRO|i7|16GB|1TB,60501295626,[리퍼] 레노버 씽크패드 X1 카본 GEN9 i7 램16GB 1TB Win11Pro,레노버,16GB,1TB,i7,GSSHOP,799000,799000,799000,799000,799000,0.0,0.0,1,1,1,N,6,2026-06-22,2026-06-22,가격 관찰,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1098282715&vodFlag=N&prdseqnum=1098282715&utm_source=price&utm_medium=affiliate&utm_campaign=naver
레노버|10U16GBRAM512GB|i7|16GB|512GB,90740355836,Lenovo 리퍼제품 레노버 씽크패드 P15s G1 모바일 워크스테이션 노트북 15인치 FHD IPS 디스플레이 코어 i7-10610U 16GB RAM 512GB SSD USB,레노버,16GB,512GB,i7,볼트르마켓,857600,857600,857600,857600,857600,0.0,0.0,1,1,1,N,6,2026-06-26,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13195844739
